""	"nsc_exp_name"	"nsc"	"experiment"	"used_in_zscore"
"755_9304SM43"	"755_9304SM43"	"755"	"9304SM43"	TRUE
"755_9304SS38"	"755_9304SS38"	"755"	"9304SS38"	TRUE
"755_9306SA72"	"755_9306SA72"	"755"	"9306SA72"	TRUE
"755_9306SS75"	"755_9306SS75"	"755"	"9306SS75"	TRUE
"755_9308AG52"	"755_9308AG52"	"755"	"9308AG52"	TRUE
"755_9308SA85"	"755_9308SA85"	"755"	"9308SA85"	TRUE
"755_9308SS97"	"755_9308SS97"	"755"	"9308SS97"	TRUE
"755_9310AG69"	"755_9310AG69"	"755"	"9310AG69"	TRUE
"755_9310SM92"	"755_9310SM92"	"755"	"9310SM92"	TRUE
"755_9310SS33"	"755_9310SS33"	"755"	"9310SS33"	TRUE
"755_9312SA18"	"755_9312SA18"	"755"	"9312SA18"	TRUE
"755_9312SM08"	"755_9312SM08"	"755"	"9312SM08"	TRUE
"755_9312SS63"	"755_9312SS63"	"755"	"9312SS63"	TRUE
"755_9512SR92"	"755_9512SR92"	"755"	"9512SR92"	TRUE
"755_9601SR03"	"755_9601SR03"	"755"	"9601SR03"	TRUE
"755_9603MD16"	"755_9603MD16"	"755"	"9603MD16"	TRUE
"755_9603NS01"	"755_9603NS01"	"755"	"9603NS01"	TRUE
"755_9604SR24"	"755_9604SR24"	"755"	"9604SR24"	TRUE
"755_9706NS64"	"755_9706NS64"	"755"	"9706NS64"	TRUE
"757_8905NS31"	"757_8905NS31"	"757"	"8905NS31"	TRUE
"757_8905NS32"	"757_8905NS32"	"757"	"8905NS32"	TRUE
"757_8905SC88"	"757_8905SC88"	"757"	"8905SC88"	TRUE
"757_8907PH02"	"757_8907PH02"	"757"	"8907PH02"	TRUE
"757_9007SR18"	"757_9007SR18"	"757"	"9007SR18"	TRUE
"757_9102BS04"	"757_9102BS04"	"757"	"9102BS04"	TRUE
"757_9103BG63"	"757_9103BG63"	"757"	"9103BG63"	TRUE
"762_8907AG38"	"762_8907AG38"	"762"	"8907AG38"	TRUE
"762_8907MD10"	"762_8907MD10"	"762"	"8907MD10"	TRUE
"762_8907SC02"	"762_8907SC02"	"762"	"8907SC02"	TRUE
"762_8908MD13"	"762_8908MD13"	"762"	"8908MD13"	TRUE
"762_8908SA09"	"762_8908SA09"	"762"	"8908SA09"	TRUE
"762_8909AG52"	"762_8909AG52"	"762"	"8909AG52"	TRUE
"762_8909MD19"	"762_8909MD19"	"762"	"8909MD19"	TRUE
"762_8909NS57"	"762_8909NS57"	"762"	"8909NS57"	TRUE
"762_8909SA17"	"762_8909SA17"	"762"	"8909SA17"	TRUE
"762_8910AG56"	"762_8910AG56"	"762"	"8910AG56"	TRUE
